license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
379,Acnedap Gel,DAPSONE,DB00250,acne (disease),TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,hemoglobinopathy,TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,myocardial infarction (disease),TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,obsolete susceptibility to ischemic stroke,TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,myocardial infarction,TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,coronary thrombosis,TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,pulmonary embolism (disease),TxGNN Knowledge Graph
393,Actilyse 50mg Injection,ALTEPLASE,DB00009,stroke disorder,TxGNN Knowledge Graph
397,Acular LS Ophthalmic Solution,KETOROLAC,DB00465,vernal conjunctivitis,TxGNN Knowledge Graph
397,Acular LS Ophthalmic Solution,KETOROLAC,DB00465,papillary conjunctivitis,TxGNN Knowledge Graph
397,Acular LS Ophthalmic Solution,KETOROLAC,DB00465,atopic conjunctivitis,TxGNN Knowledge Graph
407,Alkamax MB Alkamax MB6 Oral Solution,POTASSIUM CITRATE,DB09125,renal tubular acidosis,TxGNN Knowledge Graph
407,Alkamax MB Alkamax MB6 Oral Solution,POTASSIUM CITRATE,DB09125,acute urate nephropathy,TxGNN Knowledge Graph
407,Alkamax MB Alkamax MB6 Oral Solution,POTASSIUM CITRATE,DB09125,potassium deficiency disease,TxGNN Knowledge Graph
448,Afoglip M  500 Tablet ER,METFORMIN,DB00331,diabetes mellitus (disease),TxGNN Knowledge Graph
448,Afoglip M  500 Tablet ER,METFORMIN,DB00331,type 2 diabetes mellitus,TxGNN Knowledge Graph
449,Amlozaar Tablet,LOSARTAN,DB00678,hypertensive disorder,TxGNN Knowledge Graph
449,Amlozaar Tablet,LOSARTAN,DB00678,hypertension,TxGNN Knowledge Graph
449,Amlozaar Tablet,LOSARTAN,DB00678,diabetic nephropathy,TxGNN Knowledge Graph
450,Abel 40 Tablet,AZILSARTAN MEDOXOMIL,DB08822,hypertensive disorder,TxGNN Knowledge Graph
450,Abel 40 Tablet,AZILSARTAN MEDOXOMIL,DB08822,hypertension,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,staphylococcal pneumonia,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,bacterial pneumonia,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,rhinoscleroma,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,arthropathy,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,streptococcal pneumonia,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,viral meningitis,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,infectious otitis media,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,bullous impetigo,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,impetigo,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,maxillary sinusitis,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,streptococcal infection,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,bacterial meningitis,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,bacterial arthritis,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,staphylococcus aureus infection,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,acute gonococcal cervicitis,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,staphylococcal infection,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,Lyme disease,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,streptococcal meningitis,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,escherichia coli infection,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,gonorrhea,TxGNN Knowledge Graph
457,Altacef 500 Tablet,CEFUROXIME,DB01112,acute gonococcal endometritis,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,brucellosis,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,pulmonary tuberculosis,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,tularemia,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,necrotizing ulcerative gingivitis,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,lymphogranuloma venereum,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,yaws,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,granuloma inguinale,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,plague,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,leptospirosis,TxGNN Knowledge Graph
459,Ambistryn-S 0.75gm Injection,STREPTOMYCIN,DB01082,chancroid,TxGNN Knowledge Graph
460,Ambulax-ET Tablet,ETIZOLAM,DB09166,anxiety,TxGNN Knowledge Graph
464,Axogurd NT Tablet SR,PREGABALIN,DB00230,anxiety disorder,TxGNN Knowledge Graph
464,Axogurd NT Tablet SR,PREGABALIN,DB00230,postherpetic neuralgia,TxGNN Knowledge Graph
464,Axogurd NT Tablet SR,PREGABALIN,DB00230,fibromyalgia,TxGNN Knowledge Graph
464,Axogurd NT Tablet SR,PREGABALIN,DB00230,myofascial pain syndrome,TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,exanthem (disease),TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,atopic eczema,TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,granuloma annulare,TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,"dermatitis, atopic",TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,seborrheic keratosis,TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,seborrheic dermatitis,TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,acne (disease),TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,contact dermatitis,TxGNN Knowledge Graph
465,Aclind BP 2.5% Gel,BENZOYL PEROXIDE,DB09096,occupational dermatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,parapsoriasis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,enterobiasis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,synovitis (disease),TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,panuveitis (disease),TxGNN Knowledge Graph
