license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
467,Atonide-H Cream,HYDROCORTISONE,DB00741,psoriatic arthritis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,allergic rhinitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,acquired angioedema,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,contact dermatitis,TxGNN Knowledge Graph
467,Atonide-H Cream,HYDROCORTISONE,DB00741,occupational dermatitis,TxGNN Knowledge Graph
468,Aldonil Tablet,EPALRESTAT,DB15293,diabetic polyneuropathy,TxGNN Knowledge Graph
468,Aldonil Tablet,EPALRESTAT,DB15293,diabetic neuropathy,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,disseminated candidiasis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,candidemia,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,coccidioidomycosis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,white piedra,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,black piedra,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,esophageal candidiasis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,sporotrichosis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,blastomycosis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,histoplasmosis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,aspergillosis,TxGNN Knowledge Graph
470,Alcros 100 Capsule,ITRACONAZOLE,DB01167,fusariosis,TxGNN Knowledge Graph
475,A-Ret 0.05% Gel,TRETINOIN,DB00755,acquired keratosis,TxGNN Knowledge Graph
475,A-Ret 0.05% Gel,TRETINOIN,DB00755,acute promyelocytic leukemia,TxGNN Knowledge Graph
475,A-Ret 0.05% Gel,TRETINOIN,DB00755,palmoplantar keratoderma,TxGNN Knowledge Graph
475,A-Ret 0.05% Gel,TRETINOIN,DB00755,acne (disease),TxGNN Knowledge Graph
476,Adenosine 3mg Injection,ADENOSINE,DB00640,ventricular tachycardia,TxGNN Knowledge Graph
483,Alevo 500 Tablet,LEVOFLOXACIN,DB01137,staphylococcal pneumonia,TxGNN Knowledge Graph
483,Alevo 500 Tablet,LEVOFLOXACIN,DB01137,staphylococcus aureus infection,TxGNN Knowledge Graph
483,Alevo 500 Tablet,LEVOFLOXACIN,DB01137,streptococcal pneumonia,TxGNN Knowledge Graph
483,Alevo 500 Tablet,LEVOFLOXACIN,DB01137,acute contagious conjunctivitis,TxGNN Knowledge Graph
